Position,Name,Type,Signal,Label,TIM2_REMAP2,TIM2_REMAP1,TIM1_REMAP1,TIM3_REMAP1,TIM2_REMAP3,USART3_REMAP1,TIM3_REMAP2,SPI1_REMAP1,USART1_REMAP1,CAN_REMAP1,I2C1_REMAP1
60,BOOT0,Boot,,,,,,,,,,,,,
7,NRST,Reset,,,,,,,,,,,,,
14,PA0-WKUP,I/O,ADC1_IN0,,TIM2_CH1/TIM2_ETR,,,,,,,,,,
15,PA1,I/O,ADC2_IN1,,TIM2_CH2,,,,,,,,,,
43,PA10,I/O,,,,,TIM1_CH3,,,,,,,,
44,PA11,I/O,,,,,TIM1_CH4,,,,,,,,
45,PA12,I/O,,,,,TIM1_ETR,,,,,,,,
46,PA13,I/O,SYS_JTMS-SWDIO,TMS,,,,,,,,,,,
49,PA14,I/O,SYS_JTCK-SWCLK,TCK,,,,,,,,,,,
50,PA15,I/O,,,,TIM2_CH1/TIM2_ETR,,,TIM2_CH1/TIM2_ETR,,,SPI1_NSS,,,
16,PA2,I/O,USART2_TX,USART_TX,,TIM2_CH3,,,,,,,,,
17,PA3,I/O,USART2_RX,USART_RX,,TIM2_CH4,,,,,,,,,
20,PA4,I/O,,,,,,,,,,,,,
21,PA5,Output,GPIO_Output,Led,,,,,,,,,,,
22,PA6,I/O,ADC1_IN6,,,,TIM1_BKIN,,,,,,,,
23,PA7,I/O,ADC2_IN7,,,,TIM1_CH1N,,,,,,,,
41,PA8,I/O,,,,,TIM1_CH1,,,,,,,,
42,PA9,I/O,,,,,TIM1_CH2,,,,,,,,
26,PB0,I/O,,,,,TIM1_CH2N,TIM3_CH3,,,,,,,
27,PB1,I/O,,,,,TIM1_CH3N,TIM3_CH4,,,,,,,
29,PB10,I/O,USART3_TX,,TIM2_CH3,,,,TIM2_CH3,,,,,,
30,PB11,I/O,USART3_RX,,TIM2_CH4,,,,TIM2_CH4,,,,,,
33,PB12,Output,GPIO_Output,SPI_SEL,,,,,,,,,,,
34,PB13,I/O,SPI2_SCK,,,,,,,USART3_CTS,,,,,
35,PB14,I/O,SPI2_MISO,,,,,,,USART3_RTS,,,,,
36,PB15,I/O,SPI2_MOSI,,,,,,,,,,,,
28,PB2,I/O,,,,,,,,,,,,,
55,PB3,I/O,SYS_JTDO-TRACESWO,SWO,,TIM2_CH2,,,TIM2_CH2,,,SPI1_SCK,,,
56,PB4,I/O,,,,,,TIM3_CH1,,,,SPI1_MISO,,,
57,PB5,Output,GPIO_Output,Dbg1,,,,TIM3_CH2,,,,SPI1_MOSI,,,
58,PB6,I/O,I2C1_SCL,,,,,,,,,,USART1_TX,,
59,PB7,I/O,I2C1_SDA,,,,,,,,,,USART1_RX,,
61,PB8,Output,GPIO_Output,Dbg4,,,,,,,,,,CAN_RX,I2C1_SCL
62,PB9,Output,GPIO_Output,Dbg5,,,,,,,,,,CAN_TX,I2C1_SDA
8,PC0,I/O,,,,,,,,,,,,,
9,PC1,I/O,,,,,,,,,,,,,
51,PC10,I/O,,,,,,,,USART3_TX,,,,,
52,PC11,I/O,,,,,,,,USART3_RX,,,,,
53,PC12,I/O,,,,,,,,USART3_CK,,,,,
2,PC13-TAMPER-RTC,Output,GPIO_Output,Led,,,,,,,,,,,
3,PC14-OSC32_IN,I/O,RCC_OSC32_IN,,,,,,,,,,,,
4,PC15-OSC32_OUT,I/O,RCC_OSC32_OUT,,,,,,,,,,,,
10,PC2,I/O,,,,,,,,,,,,,
11,PC3,I/O,,,,,,,,,,,,,
24,PC4,I/O,,,,,,,,,,,,,
25,PC5,Output,GPIO_Output,Dbg0,,,,,,,,,,,
37,PC6,I/O,,,,,,,,,TIM3_CH1,,,,
38,PC7,I/O,,,,,,,,,TIM3_CH2,,,,
39,PC8,Output,GPIO_Output,Dbg2,,,,,,,TIM3_CH3,,,,
40,PC9,Output,GPIO_Output,Dbg3,,,,,,,TIM3_CH4,,,,
5,PD0-OSC_IN,I/O,RCC_OSC_IN,,,,,,,,,,,,
6,PD1-OSC_OUT,I/O,RCC_OSC_OUT,,,,,,,,,,,,
54,PD2,I/O,,,,,,,,,,,,,
1,VBAT,Power,,,,,,,,,,,,,
19,VDD,Power,,,,,,,,,,,,,
32,VDD,Power,,,,,,,,,,,,,
48,VDD,Power,,,,,,,,,,,,,
64,VDD,Power,,,,,,,,,,,,,
13,VDDA,Power,,,,,,,,,,,,,
18,VSS,Power,,,,,,,,,,,,,
31,VSS,Power,,,,,,,,,,,,,
47,VSS,Power,,,,,,,,,,,,,
63,VSS,Power,,,,,,,,,,,,,
12,VSSA,Power,,,,,,,,,,,,,
